DATE,House_price,GDP,Gov_exp,Population,CPI
2000-01-01,202900,10002.179,448.699,281083,169.3
2000-04-01,202400,10247.72,444.832,281299,170.0
2000-07-01,204100,10318.165,431.406,281531,171.0
2000-10-01,212100,10435.744,464.305,281763,170.9
2001-01-01,211000,10470.231,481.92,281996,171.2
2001-04-01,211200,10599.0,466.313,282247,172.2
2001-07-01,207800,10598.02,450.308,282504,172.7
2001-10-01,214200,10660.465,501.637,282769,172.7
2002-01-01,227600,10783.5,508.936,283033,173.6
2002-04-01,227600,10887.46,506.749,283285,173.9
2002-07-01,219100,10984.04,493.347,283523,174.2
2002-10-01,232500,11061.433,535.865,283748,174.6
2003-01-01,233100,11174.129,542.505,283960,175.6
2003-04-01,241000,11312.766,543.507,284166,176.0
2003-07-01,248100,11566.669,537.782,284380,176.1
2003-10-01,256000,11772.234,569.963,284602,176.4
2004-01-01,262900,11923.447,581.848,284834,177.3
2004-04-01,265300,12112.815,575.208,285076,177.7
2004-07-01,274000,12305.307,565.295,285324,177.4
2004-10-01,286300,12527.214,602.987,285584,177.4
2005-01-01,288500,12767.286,629.539,285842,178.1
2005-04-01,287800,12922.656,619.412,286086,177.6
2005-07-01,294600,13142.642,620.233,286315,177.5
2005-10-01,294200,13324.204,649.433,286533,177.4
2006-01-01,305300,13599.16,691.092,286739,177.7
2006-04-01,302600,13753.424,675.91,286935,178.0
2006-07-01,308100,13870.188,638.383,287131,178.5
2006-10-01,299600,14039.56,653.889,287343,179.3
2007-01-01,322100,14215.651,725.31,287571,179.5
2007-04-01,310100,14402.082,687.638,287808,179.6
2007-07-01,301200,14564.117,661.459,288051,180.0
2007-10-01,305800,14715.058,714.351,288303,180.5
2008-01-01,290400,14706.538,745.776,288554,180.8
2008-04-01,304200,14865.701,762.374,288794,181.2
2008-07-01,285100,14898.999,759.882,289012,181.5
2008-10-01,276600,14608.209,1029.155,289214,181.8
2009-01-01,257000,14430.902,913.857,289412,182.600
2009-04-01,273400,14381.236,729.082,289606,183.600
2009-07-01,274100,14448.882,844.557,289809,183.900
2009-10-01,272900,14651.249,876.993,290024,183.200
2010-01-01,275300,14764.61,794.048,290250,182.900
2010-04-01,268800,14980.193,931.64,290484,183.100
2010-07-01,266000,15141.607,853.269,290726,183.700
2010-10-01,278000,15309.474,901.233,290974,184.5
2011-01-01,268100,15351.448,949.946,291222,185.100
2011-04-01,267600,15557.539,855.945,291463,184.9
2011-07-01,263000,15647.68,895.005,291677,185.000
2011-10-01,259700,15842.259,875.541,291868,185.500
2012-01-01,278000,16068.805,965.914,292046,186.300
2012-04-01,282700,16207.115,884.458,292230,186.700
2012-07-01,294500,16319.541,810.154,292434,187.100
2012-10-01,297700,16420.419,908.149,292651,187.400
2013-01-01,307400,16648.189,888.244,292872,188.200
2013-04-01,320400,16728.687,800.748,293103,188.900
2013-07-01,324400,16953.838,855.889,293350,189.100
2013-10-01,334400,17192.019,839.378,293603,189.200
2014-01-01,331400,17197.738,897.22,293857,189.800
2014-04-01,340600,17518.508,890.142,294104,190.8
2014-07-01,340400,17804.228,878.511,294337,191.700
2014-10-01,369400,17912.079,915.784,294561,191.700
2015-01-01,348000,18063.529,942.996,294768,191.600
2015-04-01,339700,18279.784,902.894,294955,192.400
2015-07-01,347400,18401.626,925.807,295149,193.100
2015-10-01,366700,18435.137,980.972,295359,193.700
2016-01-01,357000,18525.933,954.673,295582,193.600
2016-04-01,357900,18711.702,933.463,295824,193.700
2016-07-01,358800,18892.639,984.214,296077,194.900
2016-10-01,364900,19089.379,950.403,296338,196.100
2017-01-01,374800,19280.084,1049.452,296606,198.800
2017-04-01,376900,19438.643,1031.027,296857,199.100
2017-07-01,373200.0,19692.595,949.509,297089,198.100
2017-10-01,399700.0,20037.088,993.966,297311,198.100
2018-01-01,374600.0,20328.553,1102.98,297526,199.300
2018-04-01,378400.0,20580.912,1051.49,297734,199.400
2018-07-01,392900.0,20798.73,959.738,297950,199.700
2018-10-01,384000.0,20917.867,1089.184,298170,200.700
2019-01-01,375500.0,21104.133,1109.146,298401,201.300
2019-04-01,376700.0,21384.775,1156.641,298653,201.800
2019-07-01,382700.0,21694.282,1091.252,298910,202.900
2019-10-01,384600.0,21902.39,1162.848,299178,203.800
2020-01-01,383000.0,21706.513,1186.842,299452,202.800
2020-04-01,374500.0,19913.143,2654.43,299710,201.900
2020-07-01,397800.0,21647.64,1548.467,299950,202.000
2020-10-01,403900.0,22024.502,1374.943,300178,203.100
2021-01-01,418600.0,22600.185,2034.047,300398,203.437
2021-04-01,440600.0,23292.362,1884.359,300608,204.226
2021-07-01,473000.0,23828.973,1528.3,300823,205.288
2021-10-01,497300.0,24654.603,1428.218,301045,205.904
2022-01-01,514100.0,25029.116,1361.059,301278,206.755
2022-04-01,527500.0,25544.273,1561.933,301528,207.234
2022-07-01,547800.0,25994.639,1921.275,301790,207.603
2022-10-01,552600.0,26408.405,1445.974,302064,207.667
